ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17947	Fantin	H.65	Tannhäuser  : acte III. L'étoile du soir	1886	lithographie	22,8 x 15 cm		1887_03
#17949	Fantin	H.67	Tristan et Iseult  : acte II. Signal dans la nuit	1886	lithographie	22,8 x 15 cm		1886_04
#17950	Fantin	H.68	Les Maîtres chanteurs de Nuremberg	1886	lithographie	22,8 x 15 cm		1887_03
#17951	Fantin	H.69	L'or du Rhin	1886	lithographie	22,8 x 15 cm		1886_04 1888_02
#17913	Fantin	H.7	L'anniversaire	1875	lithographie	62,3 x 50,3 cm		1875_18 1876_01 1876_02 1877_04
#17952	Fantin	H.70	La Walkyrie	1886	lithographie	22,8 x 15 cm		1887_03
#17953	Fantin	H.71	Siegfried  : acte III. Évocation d'Erda	1886	lithographie	22,8 x 15 cm		1878_11 1887_03
#17954	Fantin	H.72	Le crépuscule des dieux  : acte III. Siegfried et les filles du Rhin	1886	lithographie	22,8 x 15 cm		1887_03
#17956	Fantin	H.74	Réveil	1886	lithographie	22,8 x 15 cm		1887_02
#17957	Fantin	H.76	Vérité	1888	lithographie	23,1 x 15 cm		1888_02 1888_05
#17959	Fantin	H.78	Symphonie fantastique - un bal	1888	lithographie	23,3 x 15,4 cm		1888_02 1888_05
#17960	Fantin	H.79	Lélio  : La Harpe éolienne	1888	lithographie	23,1 x 15,4 cm		1888_02 1888_05
#17914	Fantin	H.8	Scène première du Rheingold	1876	lithographie	51 x 33,7 cm		1877_03 1877_04 1877_05
#17961	Fantin	H.80	Harold en Italie  : Dans les montagnes	1888	lithographie	23,2 x 15,3 cm		1888_02 1888_05
#17962	Fantin	H.81	Benvenuto Cellini  : Acte III. La Fonte du Persée	1888	lithographie sur Chine collé sur vélin	22,9 x 15,4 cm		1888_05
#17963	Fantin	H.82	Roméo et Juliette  : Confidence à la Nuit	1888	lithographie sur Chine collé sur vélin	22,5 x 15,1 cm		1888_05
#17968	Fantin	H.87	La Prise de Troie  : acte III. Apparition d'Hector	1888	lithographie sur Chine collé sur vélin	23,3 x 15,5 cm		1888_02 1888_05
#17970	Fantin	H.89	Apothéose	1888	lithographie sur Chine collé sur vélin	22,6 x 15,4 cm		1886_04 1888_02 1888_05
#17915	Fantin	H.9	Tannhäuser. Venusberg (2e planche)	1876	lithographie	40,5 x 50 cm		1877_03 1877_04 1878_01
#17971	Fantin	H.91	Religion et religions	1889	lithographie	43 x 30,5 cm		1889_06
#17972	Fantin	H.92	A Victor Hugo	1889	lithographie	44,5 x 30,2 cm		1885_03 1889_06
#17973	Fantin	H.96	La liberté	1890	lithographie	22,2 x 15,5 cm		1891_04
#17974	Fantin	H.97	Le mage	1891	lithographie	20,9 x 14,5 cm		1891_04
