fichier,résultat
sentence826,neutral
sentence827,neutral
sentence828,neutral
sentence829,négatif
sentence830,négatif
sentence831,positif
sentence832,neutral
sentence833,négatif
sentence834,neutral
sentence835,négatif
sentence836,neutral
sentence837,positif
sentence838,positif
sentence839,négatif
sentence840,neutral
sentence841,positif
sentence842,négatif
sentence843,négatif
sentence844,neutral
sentence845,neutral
sentence846,neutral
sentence847,neutral
sentence848,neutral
sentence849,neutral
sentence850,neutral
sentence851,positif
sentence852,positif
sentence853,neutral
sentence854,neutral
sentence855,neutral
sentence856,neutral
sentence857,neutral
sentence858,neutral
sentence859,neutral
sentence860,neutral
sentence861,neutral
sentence862,neutral
sentence863,positif
sentence864,positif
sentence865,neutral
sentence866,neutral
sentence867,neutral
sentence868,neutral
sentence869,positif
sentence870,positif
sentence871,positif
sentence872,négatif
sentence873,neutral
sentence874,positif
sentence875,positif
sentence876,négatif
sentence877,neutral
sentence878,neutral
sentence879,neutral
sentence880,neutral
sentence881,positif
sentence882,positif
sentence883,neutral
sentence884,positif
sentence885,positif
sentence886,neutral
sentence887,neutral
sentence888,positif
sentence889,positif
sentence890,positif
sentence891,négatif
sentence892,positif
sentence893,positif
sentence894,négatif
sentence895,négatif
sentence896,neutral
sentence897,négatif
sentence898,neutral
sentence899,positif
sentence900,négatif
sentence901,négatif
sentence902,neutral
sentence903,positif
sentence904,neutral
sentence905,neutral
sentence906,neutral
sentence907,positif
sentence908,neutral
sentence909,positif
sentence910,neutral
sentence911,neutral
sentence912,neutral
sentence913,positif
sentence914,neutral
sentence915,positif
sentence916,neutral
sentence917,négatif
sentence918,neutral
sentence919,neutral
sentence920,négatif
sentence921,positif
sentence922,positif
sentence923,négatif
sentence924,positif
sentence925,positif
sentence926,positif
sentence927,neutral
sentence928,positif
sentence929,neutral
sentence930,positif
sentence931,positif
sentence932,positif
sentence933,neutral
sentence934,positif
sentence935,neutral
sentence936,positif
sentence937,positif
sentence938,négatif
sentence939,positif
sentence940,positif
sentence941,positif
sentence942,neutral
sentence943,neutral
sentence944,positif
sentence945,neutral
sentence946,neutral
sentence947,positif
sentence948,positif
sentence949,neutral
sentence950,négatif
sentence951,neutral
sentence952,positif
sentence953,positif
sentence954,neutral
sentence955,neutral
sentence956,positif
sentence957,neutral
sentence958,positif
sentence959,positif
sentence960,positif
sentence961,positif
sentence962,négatif
sentence963,neutral
sentence964,neutral
sentence965,positif
sentence966,neutral
sentence967,neutral
sentence968,positif
sentence969,positif
sentence970,positif
sentence971,positif
sentence972,positif
sentence973,neutral
sentence974,positif
sentence975,positif
sentence976,négatif
sentence977,neutral
sentence978,positif
sentence979,neutral
sentence980,positif
sentence981,positif
sentence982,positif
sentence983,positif
sentence984,neutral
sentence985,neutral
sentence986,neutral
sentence987,neutral
sentence988,neutral
