,url,long,lat
221,https://www.geonames.org/3003796,0.10767,49.4938
222,https://www.geonames.org/2967603,4.7012,49.39791
223,https://www.geonames.org/1275339,72.88261,19.07283
224,https://www.geonames.org/2982351,6.60454,48.38447
225,https://www.geonames.org/2976703,0.73333,49.86667
226,https://www.geonames.org/6255150,-57.65625,-14.60485
227,https://www.geonames.org/3038032,7.42185,48.30125
228,https://www.geonames.org/3009052,-1.15387,46.18915
229,https://www.geonames.org/2562772,14.44908,35.88182
230,https://www.geonames.org/2643743,-0.12574,51.50853
231,https://www.geonames.org/2755634,5.83333,52
232,https://www.geonames.org/5140405,-76.14742,43.04812
233,https://www.geonames.org/2843395,7.92442,49.9789
234,https://www.geonames.org/255620,22.33333,37.5
235,https://www.geonames.org/3037598,0.15345,45.64997
236,https://www.geonames.org/2940537,6.60707,51.19731
237,https://www.geonames.org/2661886,15,62
238,https://www.geonames.org/8260666,2.62136,48.66693
239,https://www.geonames.org/2852458,13.06566,52.39886
240,https://www.geonames.org/2938913,8.65027,49.87167
241,https://www.geonames.org/2983276,-0.96774,45.94304
242,https://www.geonames.org/2798573,6.03647,50.6279
243,https://www.geonames.org/2872504,6.68807,51.25268
244,https://www.geonames.org/2803095,5.5,50.16667
245,https://www.geonames.org/3175395,12.83333,42.83333
246,https://www.geonames.org/3010201,3.01667,47.18333
247,https://www.geonames.org/3023937,4.76765,45.463
248,https://www.geonames.org/3165361,11,43.41667
249,https://www.geonames.org/2620473,12.6136,56.03606
250,https://www.geonames.org/2971041,3.52506,50.35909
251,https://www.geonames.org/2997110,6.49383,48.59273
252,https://www.geonames.org/2968819,2.19311,48.82358
253,https://www.geonames.org/2980291,4.39,45.43389
254,https://www.geonames.org/3112616,1,42.66667
255,https://www.geonames.org/3492908,-69.89232,18.47186
256,https://www.geonames.org/2873891,8.46694,49.4891
257,https://www.geonames.org/2992017,2.31393,48.8162
258,https://www.geonames.org/3025132,0.24284,47.16701
259,https://www.geonames.org/2785389,5.46484,50.78054
260,https://www.geonames.org/2623032,10,56
261,https://www.geonames.org/2784604,4.42938,50.92814
262,https://www.geonames.org/3571824,-77.34306,25.05823
263,https://www.geonames.org/1264527,80.27847,13.08784
264,https://www.geonames.org/3077543,15.99143,49.95553
265,https://www.geonames.org/1227604,80.71648,7.60632
266,https://www.geonames.org/2906546,6.58828,51.12437
267,https://www.geonames.org/2990355,-0.45877,46.32313
268,https://www.geonames.org/3128760,2.15899,41.38879
269,https://www.geonames.org/2955001,7.86716,49.98986
270,https://www.geonames.org/3038261,2.148,43.9298
271,https://www.geonames.org/2974678,2.21757,48.82292
272,https://www.geonames.org/3012937,6.12857,43.12038
273,https://www.geonames.org/2872567,12.5,53.83333
274,https://www.geonames.org/3025034,4.86667,47.05
275,https://www.geonames.org/2999022,3.33726,49.43036
276,https://www.geonames.org/3014728,5.71479,45.17869
277,https://www.geonames.org/2929670,11.03283,50.9787
278,https://www.geonames.org/2969679,2.13424,48.80359
279,https://www.geonames.org/3034475,-1.473,43.49316
280,https://www.geonames.org/2800313,5.44167,50.59163
281,https://www.geonames.org/2958516,7.01667,50.73333
282,https://www.geonames.org/3013365,2.0382,50.37349
283,https://www.geonames.org/3091462,19.92602,53.91711
284,https://www.geonames.org/2875343,11.49714,53.32917
285,https://www.geonames.org/2990474,3.159,46.98956
286,https://www.geonames.org/3009443,-0.07553,47.69815
287,https://www.geonames.org/2748002,5.98944,51.1703
288,https://www.geonames.org/3067696,14.42076,50.08804
289,https://www.geonames.org/2982405,1.56634,48.25823
290,https://www.geonames.org/3013173,0.23294,49.41985
291,https://www.geonames.org/2766824,13.04399,47.79941
292,https://www.geonames.org/2986715,6.45758,47.96337
293,https://www.geonames.org/2974389,3.32361,49.38167
294,https://www.geonames.org/3012319,3.40096,47.98288
295,https://www.geonames.org/2988358,-0.35583,43.31117
296,https://www.geonames.org/2980558,2.31965,48.64682
